id,ObjectID,ActionID,IsAllow,UserID
98,18,1,1,2
99,18,1,1,2
100,18,2,1,2
101,18,3,1,2
102,18,4,1,2
106,7,2,1,2
107,7,1,1,2
108,9,1,1,2
109,9,2,1,2
110,9,3,1,2
111,9,4,1,2
112,10,1,1,2
113,10,2,1,2
114,10,3,1,2
115,10,4,1,2
116,11,1,1,2
117,11,2,1,2
118,11,3,1,2
119,11,4,1,2
120,11,5,1,2
121,12,1,1,2
122,12,2,1,2
123,12,3,1,2
124,12,4,1,2
125,12,5,1,2
126,13,1,1,2
127,13,2,1,2
128,13,3,1,2
129,13,4,1,2
130,13,5,1,2
131,25,1,1,2
136,7,2,1,8
137,7,1,1,8
138,8,1,1,8
139,8,3,1,8
140,8,4,1,8
141,18,1,1,8
142,18,2,1,8
143,18,3,1,8
144,18,4,1,8
145,11,1,1,8
146,11,2,1,8
147,11,3,1,8
148,11,4,1,8
149,11,5,1,8
150,13,1,1,8
151,13,2,1,8
152,13,3,1,8
153,13,4,1,8
154,13,5,1,8
155,14,1,1,8
156,14,2,1,8
157,14,3,1,8
158,14,4,1,8
159,14,5,1,8
160,15,1,1,8
161,15,2,1,8
162,15,3,1,8
163,15,4,1,8
164,15,5,1,8
165,9,1,1,8
166,9,2,1,8
167,9,3,1,8
168,9,4,1,8
169,10,1,1,8
170,10,2,1,8
171,10,3,1,8
172,10,4,1,8
173,12,1,1,8
174,12,2,1,8
175,12,3,1,8
176,12,4,1,8
177,12,5,1,8
178,25,1,1,8
183,8,1,1,2
184,8,3,1,2
185,8,4,1,2
186,14,1,1,2
187,14,2,1,2
188,14,3,1,2
189,14,4,1,2
190,14,5,1,2
191,15,1,1,2
192,15,2,1,2
193,15,3,1,2
194,15,4,1,2
195,15,5,1,2
